   0%|          | 0/3 [00:00<?, ?it/s] Average Metric: 0.00 / 1 (0.0%):   0%|          | 0/3 [00:36<?, ?it/s] Average Metric: 0.00 / 1 (0.0%):  33%|███▎      | 1/3 [00:36<01:12, 36.18s/it] Average Metric: 0.25 / 2 (12.5%):  33%|███▎      | 1/3 [00:36<01:12, 36.18s/it] Average Metric: 0.25 / 2 (12.5%):  67%|██████▋   | 2/3 [00:36<00:15, 15.35s/it] Average Metric: 1.00 / 3 (33.3%):  67%|██████▋   | 2/3 [00:37<00:15, 15.35s/it] Average Metric: 1.00 / 3 (33.3%): 100%|██████████| 3/3 [00:37<00:00,  8.51s/it] Average Metric: 1.00 / 3 (33.3%): 100%|██████████| 3/3 [00:37<00:00, 12.44s/it]
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
river_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions="python\n# Task Description\n# The task is to determine the best action for a given Poker Hand, considering the player's personality and the current state of the game.\n\n# Input Format\n# The input will be a dictionary containing the following keys:\n# - personality: a string describing the player's personality (e.g. 'tight', 'aggressive', 'tight-aggressive')\n# - hole_cards: a tuple of two strings representing the player's hole cards (e.g. ('2c', '6c'))\n# - board: a tuple of three strings representing the current state of the board (e.g. ('7s', '8s', '3s'))\n# - street: a string representing the current street of the game (e.g. 'Flop', 'Turn', 'River')\n\n# Task Requirements\n# The assistant should consider the following factors when determining the best action:\n# - The player's personality and how it affects their playing style\n# - The strength of the player's hand compared to the current state of the board\n# - The potential for the player's hand to improve on the next street\n# - The potential for other players to have stronger hands\n\n# Domain-Specific Factual Information\n# - A 'tight' player is a player who folds frequently and only plays strong hands.\n# - An 'aggressive' player is a player who bets and raises frequently, even with weak hands.\n# - A 'tight-aggressive' player is a player who folds frequently, but bets and raises aggressively when they do play.\n# - A 'straight draw' is a hand that has a chance to improve to a straight on the next street.\n# - A 'flush draw' is a hand that has a chance to improve to a flush on the next street.\n\n# Generalizable Strategy\n# The assistant should use a decision tree or a similar algorithm to evaluate the player's hand and the current state of the board, and determine the best action based on the player's personality and the potential for the hand to improve.\n\n# Example Inputs and Outputs\n# Example 1:\n# Input:\n# personality: 'tight'\n# hole_cards: ('2c', '6c')\n# board: ('7s', '8s', '3s')\n# street: 'Flop'\n# Output:\n# action: 'fold'\n\n# Example 2:\n# Input:\n# personality: 'aggressive'\n# hole_cards: ('Th', '8c')\n# board: ('Td', 'Qc', 'Jc', '5c', '6d')\n# street: 'River'\n# Output:\n# action: 'call'\n\n# Example 3:\n# Input:\n# personality: 'tight-aggressive'\n# hole_cards: ('Kc', '4h')\n# board: ('5s', 'Kd', '2h')\n# street: 'Flop'\n# Output:\n# action: 'call'\n\n# Evaluation Metrics\n# The assistant's performance will be evaluated based on the accuracy of its actions, as well as its ability to reason and justify its decisions."
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
)), preflop_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions='Review the folling Poker Hand and determine the best action.'
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
flop_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions='Review the folling Poker Hand and determine the best action.'
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
turn_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions="python\n# Task Instruction\n\n## Task Description\nThe task is to determine the best action for a given poker hand based on the input hole cards and the community board. The assistant should consider the player's personality, the strength of their hand, the possible draws and board combinations, and the current street to make an informed decision.\n\n## Input Format\nThe input will be in the following format:\n- `personality`: A string representing the player's personality, e.g., `fifteen_percent`.\n- `hole_cards`: A tuple of two strings representing the player's hole cards, e.g., `(Kh, Kd)`.\n- `board`: A tuple of five strings representing the community board, e.g., `(Qh, 8h, 9s, Ac)`.\n- `street`: A string representing the current street, e.g., `Turn`.\n\n## Task Requirements\n1. The assistant should analyze the input hole cards and the community board to determine the strength of the player's hand.\n2. The assistant should consider the player's personality and adjust their strategy accordingly.\n3. The assistant should identify possible draws and board combinations that could improve or weaken the player's hand.\n4. The assistant should determine the best action based on the analysis, considering the current street and the player's hand strength.\n5. The assistant should provide a clear and concise reasoning for their decision.\n\n## Domain-Specific Factual Information\n- A pair of kings is a strong hand, but it can be vulnerable to ace-high flush draws.\n- A possible straight draw can be a strong hand, but it can also be vulnerable to flush draws.\n- A tight-aggressive player (15% aggression level) tends to be cautious and only play strong hands.\n- A player with a strong hand should consider raising to build the pot and protect their hand.\n- A player with a weak hand should consider folding to minimize losses.\n- A flush draw on the board can be a strong hand, but it can also be vulnerable to straight draws.\n- A straight draw on the board can be a strong hand, but it can also be vulnerable to flush draws.\n- The turn street is a good time to check and see how the other players react, as it can help to gather more information about their hands.\n- A player should be cautious and not play too many hands, especially on the turn street.\n- A player with a possible straight draw should consider checking to see how the other players react, as it can help to gather more information about their hands.\n- A player with a possible flush draw should consider checking to see how the other players react, as it can help to gather more information about their hands.\n- A player with a weak hand should consider folding to minimize losses, especially on the turn street.\n- A player with a possible draw should consider calling to see how the other players react, as it can help to gather more information about their hands.\n- A player with a strong hand should consider raising to build the pot and protect their hand, especially on the turn street.\n\n## Generalizable Strategies\n- Consider the player's personality and adjust their strategy accordingly.\n- Analyze the input hole cards and the community board to determine the strength of the player's hand.\n- Identify possible draws and board combinations that could improve or weaken the player's hand.\n- Determine the best action based on the analysis, considering the current street and the player's hand strength.\n- Be cautious and not play too many hands, especially on the turn street.\n\n## Evaluation Criteria\nThe assistant's response will be evaluated based on the following criteria:\n- Accuracy: Is the assistant's action correct based on the input hand and board?\n- Reasoning: Is the assistant's reasoning clear and concise, and does it justify their action?\n- Adaptability: Does the assistant adjust their strategy based on the player's personality?\n- Domain knowledge: Does the assistant demonstrate a good understanding of poker concepts and strategies?\n\n## Additional Requirements\n- The assistant should be able to handle different types of hands, including strong hands, weak hands, and possible draws.\n- The assistant should be able to handle different types of board combinations, including flush draws, straight draws, and possible combinations.\n- The assistant should be able to handle different types of streets, including the flop, turn, and river.\n- The assistant should be able to provide clear and concise reasoning for their decision."
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
river_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions='Review the folling Poker Hand and determine the best action.'
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
)), preflop_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions='Review the folling Poker Hand and determine the best action.'
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
flop_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions="python\n# Task Description\nThe task is to determine the best action for a given Poker Hand, considering the player's personality and the current state of the game.\n\n# Input Format\nThe input will consist of the following parameters:\n- personality: A string representing the player's personality, which can be one of the following:\n  - tight (e.g., 15%): The player is a tight player, only willing to play strong hands.\n  - loose (e.g., 50%): The player is a loose player, willing to play a wide range of hands.\n- hole_cards: A tuple of two strings representing the player's hole cards, in the format (rank, suit).\n- board: A tuple of three strings representing the current state of the board, in the format (rank1, rank2, rank3).\n- street: A string representing the current street of the game, which can be one of the following:\n  - Preflop: The game is in the preflop stage.\n  - Flop: The game is in the flop stage.\n  - Turn: The game is in the turn stage.\n  - River: The game is in the river stage.\n\n# Task Requirements\nThe task requires the assistant to:\n- Analyze the player's personality and the current state of the game.\n- Determine the strength of the player's hole cards relative to the board.\n- Choose the best action based on the player's personality and the strength of the hand.\n\n# Domain-Specific Factual Information\n- In Poker, a tight player is someone who only plays strong hands, while a loose player is someone who plays a wide range of hands.\n- The strength of a hand is determined by the rank and suit of the cards.\n- In the preflop stage, the player should fold weak hands and consider raising strong hands.\n- In the flop stage, the player should consider calling with strong hands and folding weak hands.\n- In the turn and river stages, the player should consider checking with strong hands and betting with weak hands.\n\n# Generalizable Strategy\nThe assistant should use a generalizable strategy that takes into account the player's personality and the current state of the game. This strategy should involve:\n- Evaluating the strength of the player's hole cards relative to the board.\n- Considering the player's personality and adjusting the strategy accordingly.\n- Choosing the best action based on the player's personality and the strength of the hand.\n\n# Example Inputs and Outputs\nThe following are examples of input and output for the task:\n```\n# Example 1\n## Inputs\n### personality\ntight (15%)\n\n### hole_cards\n(8h, Qc)\n\n### board\n()\n\n### street\nPreflop\n\n## Generated Outputs\n### reasoning\nAs a tight player, I should only play strong hands. With a 8h and Qc, I have a relatively weak hand. Since the board is empty, I should consider folding to minimize losses.\n\n### action\nfold\n\n# Example 2\n## Inputs\n### personality\nloose (50%)\n\n### hole_cards\n(6c, 8d)\n\n### board\n()\n\n### street\nPreflop\n\n## Generated Outputs\n### reasoning\nAs a loose player, I should play a wide range of hands. With a 6c and 8d, I have a relatively weak hand, but I'll play it anyway. Since the board is empty, I should consider calling to see what the other players do.\n\n### action\ncall\n\n# Example 3\n## Inputs\n### personality\ntight (15%)\n\n### hole_cards\n(7c, Js)\n\n### board\n()\n\n### street\nPreflop\n\n## Generated Outputs\n### reasoning\nAs a tight player, I should only play strong hands. With a 7c and Js, I have a strong hand. Since the board is empty, I should consider raising to protect my hand and potentially build the pot.\n\n### action\nraise"
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
turn_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions="python\n# Task Description:\n# The task is to determine the best action for a given poker hand based on the player's personality and the current state of the game.\n\n# Input Format:\n# The input will consist of the following parameters:\n# - personality: A string representing the player's personality, which can be one of the following:\n#   - 'tight': A tight player who only plays strong hands.\n#   - 'loose': A loose player who plays many hands.\n#   - 'aggressive': An aggressive player who likes to bet and raise.\n#   - 'passive': A passive player who likes to check and call.\n#   - 'fifteen_percent': A tight-aggressive player who plays 15% of hands.\n#   - 'twenty_percent': A loose-aggressive player who plays 20% of hands.\n#   - 'thirty_percent': A loose-passive player who plays 30% of hands.\n# - hole_cards: A list of two strings representing the player's hole cards, in the format '(rank,suit)'.\n# - board: A list of five strings representing the current state of the board, in the format '(rank,suit)'.\n# - street: A string representing the current street of the game, which can be one of the following:\n#   - 'Preflop': The pre-flop stage.\n#   - 'Flop': The flop stage.\n#   - 'Turn': The turn stage.\n#   - 'River': The river stage.\n\n# Output Format:\n# The output will consist of the following parameters:\n# - reasoning: A string explaining the reasoning behind the recommended action.\n# - action: A string representing the recommended action, which can be one of the following:\n#   - 'raise': Raise the current bet.\n#   - 'call': Call the current bet.\n#   - 'fold': Fold the hand.\n\n# Task Requirements:\n# The task requires the assistant to analyze the player's personality and the current state of the game to determine the best action. The assistant should consider the strength of the player's hand, the potential for improvement, and the aggression level of the player.\n\n# Domain-Specific Factual Information:\n# - A tight player should only play strong hands and be cautious in the preflop stage.\n# - A loose player should play many hands and be more aggressive in the flop and turn stages.\n# - An aggressive player should like to bet and raise, especially in the flop and turn stages.\n# - A passive player should like to check and call, especially in the flop and turn stages.\n# - A straight draw is a strong draw that can improve the player's hand significantly.\n# - A flush draw is a strong draw that can improve the player's hand significantly.\n# - A set is a strong hand that can improve the player's hand significantly.\n# - A pair is a strong hand that can improve the player's hand significantly.\n\n# Generalizable Strategy:\n# The assistant can use a decision tree or a neural network to analyze the player's personality and the current state of the game and determine the best action.\n```\n\n```python\n# Example 1\n## Inputs\n### personality\nfifteen_percent\n\n### hole_cards\n(Jd, Kc)\n\n### board\n(Qh, Kd, 7d, 4c)\n\n### street\nTurn\n\n## Generated Outputs\n### reasoning\nI'm a tight-aggressive player, so I don't like to play too many hands. However, I have a strong hand with a pair of Kings and a Jack, which is a good draw to the board. The board also has a possible straight draw, so I'll need to be careful not to get too aggressive. Given the strength of my hand and the potential for a straight, I'll decide to raise to protect my hand and build the pot.\n\n### action\nraise\n\n## Feedback\nYou made the correct 'raise' action for this hand and board. This correct action is indeed 'raise'.\n\n# Example 2\n## Inputs\n### personality\nfifteen_percent\n\n### hole_cards\n(4d, 4s)\n\n### board\n(Qc, 9d, Jc, Ac, 8c)\n\n### street\nRiver\n\n## Generated Outputs\n### reasoning\nWith a fifteen_percent personality, I'm a tight-aggressive player. I have a set of fours with a relatively weak kicker on the board. The river hasn't improved my hand, and I'm facing a tough decision.\n\n### action\nfold\n\n## Feedback\nYou made the correct 'fold' action for this hand and board. The correct action is indeed 'fold'.\n\n# Example 3\n## Inputs\n### personality\nfifteen_percent\n\n### hole_cards\n(3h, Js)\n\n### board\n()\n\n### street\nPreflop\n\n## Generated Outputs\n### reasoning\nAs a tight player (15%), I should be cautious in the preflop stage. With a relatively strong hand of (3h, Js), I should consider folding to avoid wasting chips.\n\n### action\nfold\n\n## Feedback\nYou made the correct 'fold' action for this hand and board. The correct action is indeed 'fold'."
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
river_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions="python\n# Task Description\n# The task is to determine the best action for a given Poker Hand, considering the player's personality and the current state of the game.\n\n# Input Format\n# The input will be a dictionary containing the following keys:\n# - personality: a string describing the player's personality (e.g. 'tight', 'aggressive', 'tight-aggressive')\n# - hole_cards: a tuple of two strings representing the player's hole cards (e.g. ('2c', '6c'))\n# - board: a tuple of three strings representing the current state of the board (e.g. ('7s', '8s', '3s'))\n# - street: a string representing the current street of the game (e.g. 'Flop', 'Turn', 'River')\n\n# Task Requirements\n# The assistant should consider the following factors when determining the best action:\n# - The player's personality and how it affects their playing style\n# - The strength of the player's hand compared to the current state of the board\n# - The potential for the player's hand to improve on the next street\n# - The potential for other players to have stronger hands\n\n# Domain-Specific Factual Information\n# - A 'tight' player is a player who folds frequently and only plays strong hands.\n# - An 'aggressive' player is a player who bets and raises frequently, even with weak hands.\n# - A 'tight-aggressive' player is a player who folds frequently, but bets and raises aggressively when they do play.\n# - A 'straight draw' is a hand that has a chance to improve to a straight on the next street.\n# - A 'flush draw' is a hand that has a chance to improve to a flush on the next street.\n\n# Generalizable Strategy\n# The assistant should use a decision tree or a similar algorithm to evaluate the player's hand and the current state of the board, and determine the best action based on the player's personality and the potential for the hand to improve.\n\n# Example Inputs and Outputs\n# Example 1:\n# Input:\n# personality: 'tight'\n# hole_cards: ('2c', '6c')\n# board: ('7s', '8s', '3s')\n# street: 'Flop'\n# Output:\n# action: 'fold'\n\n# Example 2:\n# Input:\n# personality: 'aggressive'\n# hole_cards: ('Th', '8c')\n# board: ('Td', 'Qc', 'Jc', '5c', '6d')\n# street: 'River'\n# Output:\n# action: 'call'\n\n# Example 3:\n# Input:\n# personality: 'tight-aggressive'\n# hole_cards: ('Kc', '4h')\n# board: ('5s', 'Kd', '2h')\n# street: 'Flop'\n# Output:\n# action: 'call'\n\n# Evaluation Metrics\n# The assistant's performance will be evaluated based on the accuracy of its actions, as well as its ability to reason and justify its decisions."
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
)), preflop_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions="python\n# Task Instruction\n\n## Task Description\nThe task is to determine the best action in a given Poker Hand scenario. The inputs will include the player's personality, hole cards, the current board state, and the current street. The assistant should provide a reasoning for the chosen action and the action itself.\n\n## Input Format\nThe input will be in the following format:\n- personality: A string representing the player's personality (e.g., 'tight', 'aggressive', etc.)\n- hole_cards: A tuple of two cards representing the player's hole cards (e.g., ('5s', 'Jc'))\n- board: A tuple of five cards representing the current board state (e.g., ('9s', '7d', 'Ad', '5h', ''))\n- street: A string representing the current street (e.g., 'Turn', 'River', 'Preflop')\n\n## Task Requirements\n1. The assistant should consider the player's personality when making the decision.\n2. The assistant should analyze the hole cards and the board state to determine the best action.\n3. The assistant should provide a clear and concise reasoning for the chosen action.\n4. The assistant should choose the correct action based on the given scenario.\n\n## Domain-Specific Factual Information\n- In Poker, a 'tight' player is someone who plays fewer hands and is more selective.\n- A 'pair' is a hand with two cards of the same rank.\n- A 'flush' is a hand with five cards of the same suit.\n- A 'straight' is a hand with five cards of sequential rank.\n- The 'Preflop' street is the first street in a Poker hand, where players can choose to call, raise, or fold.\n- The 'Turn' street is the fourth street in a Poker hand, where players can choose to check, bet, or fold.\n- The 'River' street is the fifth and final street in a Poker hand, where players can choose to check, bet, or fold.\n\n## Generalizable Strategy\nThe assistant should use a decision-making strategy that considers the player's personality, the strength of the hole cards, and the board state. The assistant should also consider the potential draws and the opponent's possible actions.\n\n## Evaluation Criteria\nThe assistant's response will be evaluated based on the following criteria:\n- Correctness: Is the chosen action correct based on the given scenario?\n- Reasoning: Is the provided reasoning clear and concise?\n- Personality consideration: Does the assistant consider the player's personality when making the decision?\n- Domain knowledge: Does the assistant demonstrate a good understanding of Poker concepts and terminology?"
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
flop_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions='python\n# Task: Determine the Best Action in a Poker Hand\n\n# Input Format:\n# - personality: A string describing the player\'s personality (e.g., "tight", "aggressive", "fifteen_percent")\n# - hole_cards: A tuple of two cards representing the player\'s hole cards (e.g., (7s, 6c))\n# - board: A tuple of five cards representing the community cards on the board (e.g., (Td, 6d, Ah))\n# - street: A string indicating the current street of the hand (e.g., "Flop", "Turn", "River")\n\n# Task Description:\n# Given a player\'s personality, hole cards, and the current state of the board, determine the best action to take in the hand.\n\n# Domain-Specific Factual Information:\n# - In poker, a "tight" player is someone who only plays strong hands, while an "aggressive" player is someone who likes to bet and raise frequently.\n# - A "fifteen_percent" personality is a specific type of player who is moderately aggressive and likes to play a mix of strong and weak hands.\n# - The flop, turn, and river are the three streets of a poker hand, with the flop being the first three community cards dealt, the turn being the fourth community card, and the river being the fifth and final community card.\n# - In general, a player\'s goal is to maximize their winnings while minimizing their losses.\n\n# Generalizable Strategies:\n# - A tight player should fold weak hands and only play strong hands.\n# - An aggressive player should bet and raise frequently to build the pot and put pressure on their opponents.\n# - A player with a fifteen_percent personality should play a mix of strong and weak hands, but be cautious not to get too aggressive and lose too much money.\n\n# Task Requirements:\n# - The assistant should be able to analyze the player\'s personality, hole cards, and the current state of the board to determine the best action to take.\n# - The assistant should be able to reason about the strength of the player\'s hand and the potential strength of their opponents\' hands.\n# - The assistant should be able to adjust their strategy based on the player\'s personality and the current state of the hand.\n\n# Evaluation Metrics:\n# - The assistant\'s accuracy in determining the best action to take in a given hand.\n# - The assistant\'s ability to reason about the strength of the player\'s hand and the potential strength of their opponents\' hands.\n# - The assistant\'s ability to adjust their strategy based on the player\'s personality and the current state of the hand.'
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
